,uniprot1,uniprot2,symbol1,symbol2,methods,pids,ndb,dbs,exp,go1,go2
72,P61289,Q9NS91,PSME3,RAD18,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0005737, GO:0005829, GO:0006915, GO:2000045, GO:0002039, GO:0061136, GO:0005634, GO:0016020, GO:0061133, GO:0008537, GO:0005654, GO:2001237, GO:0097371, GO:0005515, GO:0000502, GO:0010950, GO:0007049, GO:0016579, GO:0043687, GO:0042802","GO:0009411, GO:0042769, GO:0042405, GO:0031593, GO:0005737, GO:0016604, GO:0006301, GO:0016567, GO:0005813, GO:0005634, GO:0005654, GO:0005657, GO:0043142, GO:0046872, GO:0042802, GO:0006281, GO:0060548, GO:0006974, GO:0051984, GO:0061630, GO:0000403, GO:0031625, GO:0035861, GO:0097505, GO:0006513, GO:0051865, GO:0005515, GO:0044877, GO:0003684"
73,P28290,P38398,SSFA2,BRCA1,"affinity chromatography technology, two hybrid","22990118, 26831064",2,biogrid,exp,"GO:0005102, GO:0005634, GO:0005829, GO:0051015, GO:0005886","GO:0006633, GO:1902042, GO:0035066, GO:0035067, GO:1990904, GO:0044030, GO:0050681, GO:0033147, GO:0019899, GO:0008274, GO:0010628, GO:0008270, GO:0045766, GO:0003677, GO:0005634, GO:0042981, GO:0044818, GO:0005737, GO:0005654, GO:0006349, GO:0070063, GO:0006302, GO:0006301, GO:0000724, GO:0071356, GO:0006978, GO:0000729, GO:0003713, GO:0000800, GO:0071158, GO:0070512, GO:0085020, GO:0006260, GO:0031398, GO:0070531, GO:0007098, GO:0043009, GO:0005694, GO:0006303, GO:0042127, GO:0072425, GO:2000378, GO:2000620, GO:0005515, GO:0006281, GO:0006357, GO:0006915, GO:0006974, GO:0045892, GO:0070317, GO:0046600, GO:0005886, GO:0043627, GO:0051571, GO:0051572, GO:0051573, GO:0051574, GO:2000617, GO:0071681, GO:0010212, GO:0044212, GO:0031625, GO:0032991, GO:0008630, GO:0009048, GO:0004842, GO:0016579, GO:0010575, GO:0030521, GO:0015631, GO:0000151, GO:0003684, GO:0016567, GO:0051865, GO:0045944, GO:0006351, GO:0007059, GO:0003723, GO:0031436, GO:0045739, GO:0006359, GO:0045717, GO:0045893"
75,O14556,Q8N635,GAPDHS,MEIOB,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0004365, GO:0005829, GO:0005515, GO:0051287, GO:0030317, GO:0050661, GO:0061621, GO:0045821, GO:0005634, GO:0006096, GO:0006094","GO:0005737, GO:0006281, GO:0000712, GO:0005634, GO:0000724, GO:0009566, GO:0007129, GO:0006974, GO:0008310, GO:0007144, GO:0003682, GO:0005694, GO:0003697, GO:0007140, GO:0007141"
76,O43741,Q96SD1,PRKAB2,DCLRE1C,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0006633, GO:0019901, GO:0006468, GO:0031588, GO:0005829, GO:0005654, GO:0016236, GO:0005737, GO:0007050, GO:0007165, GO:0005515, GO:0042304, GO:0004679, GO:0005634, GO:0042802","GO:0000014, GO:0031848, GO:0008409, GO:0006303, GO:0005794, GO:0004519, GO:0030183, GO:0036297, GO:0006974, GO:0090305, GO:0033151, GO:0000784, GO:0005515, GO:0035312, GO:0010212, GO:0006281, GO:0070419, GO:0005654, GO:0003684, GO:0002250"
77,P17931,Q99728,LGALS3,BARD1,"affinity chromatography technology, two hybrid","22990118, 24755837",2,biogrid,exp,"GO:0042056, GO:2000521, GO:1902041, GO:0070232, GO:0030246, GO:2001237, GO:0048245, GO:0048246, GO:0005737, GO:0030667, GO:0005615, GO:0005743, GO:0005634, GO:0016020, GO:0030855, GO:0008380, GO:2001200, GO:0030593, GO:0045087, GO:2001189, GO:0042129, GO:0050860, GO:0062023, GO:0101003, GO:0001772, GO:0005886, GO:0050918, GO:0090280, GO:0002548, GO:0043236, GO:0070062, GO:0043312, GO:0071674, GO:0071677, GO:0005576, GO:0003723, GO:0005515, GO:0019863, GO:0045806, GO:0045637, GO:0005681, GO:0006397","GO:0036464, GO:0005737, GO:0043065, GO:0006303, GO:0031436, GO:0016567, GO:0000729, GO:0005654, GO:0043066, GO:0006260, GO:0070531, GO:0046872, GO:0016579, GO:0042803, GO:0016607, GO:0006281, GO:0007050, GO:0019900, GO:0001894, GO:0004842, GO:0042325, GO:0006974, GO:0031441, GO:0000151, GO:0046826, GO:0045732, GO:0085020, GO:0003723, GO:0005515, GO:0046982, GO:0005634"
78,O43829,O60921,ZBTB14,HUS1,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0043565, GO:0003170, GO:0003279, GO:0005515, GO:0000122, GO:0003700, GO:0005634, GO:0005730, GO:0016235, GO:0005654, GO:0044212, GO:0045892, GO:0006351, GO:0060976, GO:0000978, GO:0046872, GO:0001078, GO:0005829, GO:0000981","GO:0033314, GO:0005654, GO:0006468, GO:0000077, GO:0031573, GO:0000724, GO:0035861, GO:0005634, GO:0005730, GO:0071479, GO:0006289, GO:0006974, GO:0009790, GO:0008156, GO:0009411, GO:0005515, GO:0044778, GO:0006281, GO:0001932, GO:0030896, GO:0005829"
79,P55210,Q06609,CASP7,RAD51,-,"10998058, 9607320",2,"hprd, iid-pred","exp, pred","GO:0005737, GO:0097200, GO:0097153, GO:0005829, GO:0097194, GO:0005634, GO:0006915, GO:0005654, GO:0004197, GO:0072734, GO:0005515, GO:0006508, GO:0008233, GO:0008234","GO:0033063, GO:0008022, GO:0000730, GO:0051106, GO:0070317, GO:0000785, GO:0005739, GO:0000228, GO:0005737, GO:0000722, GO:0016605, GO:0051321, GO:0000724, GO:0005634, GO:0006281, GO:0051260, GO:0004520, GO:0000800, GO:0005815, GO:0005654, GO:1990426, GO:0005657, GO:0043142, GO:0005759, GO:0003690, GO:0006268, GO:0003697, GO:0005524, GO:0000707, GO:0072757, GO:0010569, GO:0070182, GO:0006974, GO:0000793, GO:0000790, GO:0010833, GO:0000794, GO:0010212, GO:0042148, GO:0007131, GO:0071479, GO:0048471, GO:0006310, GO:0008094, GO:0000400, GO:0032991, GO:0070192, GO:0031297, GO:0005829, GO:0005730, GO:0000150, GO:0036297, GO:0006312, GO:0042802, GO:0005515, GO:0035861, GO:0000784"
80,Q96AY2,Q96EV2,EME1,RBM33,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0005720, GO:0005654, GO:0006302, GO:0006281, GO:0000712, GO:0005730, GO:0072429, GO:0004520, GO:0036297, GO:0006974, GO:0090305, GO:0000790, GO:0005515, GO:0003677, GO:0008821, GO:0046872, GO:0031297, GO:0048476, GO:0031573",GO:0003723
81,P10321,Q9UI95,HLA-C,MAD2L2,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,,"GO:0033138, GO:0042177, GO:0051301, GO:0045830, GO:0005819, GO:0042276, GO:0000122, GO:0005634, GO:0005654, GO:2001034, GO:1904667, GO:0005694, GO:0090090, GO:0010944, GO:0006281, GO:0006974, GO:0001558, GO:0045893, GO:0001102, GO:0042772, GO:0043433, GO:0006302, GO:0008432, GO:2000042, GO:0007015, GO:0010719, GO:2000048, GO:0035861, GO:0005829, GO:0005730, GO:0016035, GO:0006351, GO:0005515, GO:0007094, GO:2000678, GO:0005680"
82,P05067,Q8IYD8,APP,FANCM,"protein array, pull down","21244100, 21832049",2,"biogrid, innatedb",exp,"GO:1990535, GO:0007409, GO:0007617, GO:0007612, GO:0016358, GO:0005788, GO:0007611, GO:0031594, GO:0030111, GO:0050808, GO:0051563, GO:1905598, GO:0090647, GO:0007219, GO:0016021, GO:0002265, GO:0006979, GO:0045665, GO:0031904, GO:0005794, GO:0005796, GO:0005791, GO:0005790, GO:0007176, GO:0010971, GO:0006378, GO:0010800, GO:0043235, GO:0042327, GO:1900273, GO:1900272, GO:0050730, GO:0005829, GO:0071320, GO:0016199, GO:0010468, GO:0030198, GO:1902004, GO:0032640, GO:0010629, GO:0010628, GO:0003677, GO:0048169, GO:1990812, GO:0044267, GO:0032092, GO:0046914, GO:0008088, GO:0001967, GO:2000406, GO:2000310, GO:0048471, GO:0007186, GO:0007626, GO:0035253, GO:0071874, GO:0051233, GO:1990761, GO:0014005, GO:0006897, GO:0050885, GO:0005641, GO:0150003, GO:0051124, GO:0050803, GO:0048143, GO:0019899, GO:0010951, GO:0005905, GO:0008542, GO:0005737, GO:0045177, GO:0031093, GO:0051247, GO:1904646, GO:1903980, GO:0042802, GO:0008285, GO:0010288, GO:0035235, GO:0043687, GO:0009987, GO:0016322, GO:0032588, GO:0005911, GO:0004867, GO:0051425, GO:0008201, GO:0008203, GO:0051092, GO:0051091, GO:0061890, GO:0098815, GO:0097449, GO:0045944, GO:0005515, GO:0005102, GO:0070374, GO:1990090, GO:0033138, GO:0031175, GO:1901224, GO:0045202, GO:0030134, GO:0006878, GO:0044304, GO:0005615, GO:0002576, GO:0030424, GO:0009986, GO:0045931, GO:0006468, GO:0045087, GO:0048669, GO:0016504, GO:0051402, GO:0005887, GO:0005886, GO:0007155, GO:1990000, GO:0010952, GO:0008344, GO:0070062, GO:0040014, GO:0043197, GO:0070851, GO:0043198, GO:0045121, GO:0046330, GO:0005576, GO:0030900, GO:0006417, GO:1905908, GO:0005768, GO:0001934","GO:0005654, GO:0071821, GO:0006281, GO:0000712, GO:0036297, GO:0004386, GO:0006974, GO:0090305, GO:0005515, GO:0003677, GO:0003682, GO:0031297, GO:0043240, GO:0005524, GO:0004518"
83,P0CG12,Q9UNP9,CHTF8,PPIE,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0005654, GO:0070062","GO:0006457, GO:0008143, GO:0071007, GO:1904813, GO:0016607, GO:0000413, GO:0005634, GO:0045070, GO:0051082, GO:0005654, GO:0003755, GO:0006283, GO:0006281, GO:0071013, GO:0006974, GO:0034774, GO:0005515, GO:0005829, GO:0043312, GO:0000398, GO:0006355, GO:0005576, GO:0003723, GO:0000974, GO:0016018, GO:0003729"
84,P02549,Q92889,SPTA1,ERCC4,affinity chromatography technology,"12571280, 16889989",2,biogrid,exp,"GO:0005088, GO:0005200, GO:0006888, GO:0015629, GO:0007015, GO:0005829, GO:0000165, GO:0051015, GO:0014731, GO:0008360, GO:0005509, GO:0005515, GO:0007411, GO:0008091, GO:0051693, GO:0031235","GO:0006295, GO:0008022, GO:0006296, GO:0070911, GO:0006293, GO:0003677, GO:1905768, GO:0004520, GO:0000781, GO:0000110, GO:0009411, GO:0000784, GO:0000109, GO:0034644, GO:0009650, GO:1990599, GO:0000723, GO:0001094, GO:0006303, GO:0000724, GO:0005634, GO:0033683, GO:0005654, GO:0051974, GO:0003697, GO:0042802, GO:0006283, GO:0006281, GO:1904357, GO:0006289, GO:0006974, GO:0005669, GO:1905765, GO:0061819, GO:0000014, GO:0047485, GO:1901255, GO:0032205, GO:0036297, GO:0010521, GO:0000712, GO:0005515, GO:0070522, GO:0003684"
85,O95274,Q13535,LYPD3,ATR,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0043236, GO:0005615, GO:0016021, GO:0007160, GO:0046658, GO:0005576, GO:0005886","GO:0018105, GO:0071480, GO:0034644, GO:0000784, GO:0003677, GO:0046777, GO:0016605, GO:0005634, GO:0032212, GO:0007275, GO:0005654, GO:0004674, GO:0006260, GO:0097695, GO:0097694, GO:0004672, GO:0032407, GO:0032405, GO:1904884, GO:0005794, GO:0006281, GO:0016301, GO:0006974, GO:0008156, GO:0043517, GO:0000077, GO:0005694, GO:0090399, GO:0042493, GO:0036297, GO:0070198, GO:0005524, GO:0005515, GO:1900034"
86,P35249,Q9H4P4,RFC4,RNF41,"two hybrid, two hybrid array, two hybrid prey pooling approach, validated two hybrid","21516116, 25416956",2,"biogrid, intact, mint",exp,"GO:0006297, GO:0006296, GO:0019985, GO:0019899, GO:0042769, GO:1900264, GO:0042276, GO:0005634, GO:0033683, GO:0005654, GO:0006260, GO:0006261, GO:0043142, GO:0031390, GO:0006283, GO:0006281, GO:0006974, GO:0006271, GO:0032201, GO:0070987, GO:0003689, GO:0005663, GO:0005524, GO:0005515","GO:0017160, GO:0008285, GO:0097191, GO:0005128, GO:0008270, GO:0000209, GO:0071782, GO:0045732, GO:0061630, GO:2000114, GO:0030971, GO:0051896, GO:0048471, GO:0043408, GO:0005135, GO:0030336, GO:2000379, GO:0006914, GO:2000377, GO:0019904, GO:0004842, GO:0051091, GO:0005829, GO:0010498, GO:1901525, GO:0051865, GO:0045619, GO:0005515, GO:0045637"
87,Q13535,Q9ULX7,ATR,CA14,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0018105, GO:0071480, GO:0034644, GO:0000784, GO:0003677, GO:0046777, GO:0016605, GO:0005634, GO:0032212, GO:0007275, GO:0005654, GO:0004674, GO:0006260, GO:0097695, GO:0097694, GO:0004672, GO:0032407, GO:0032405, GO:1904884, GO:0005794, GO:0006281, GO:0016301, GO:0006974, GO:0008156, GO:0043517, GO:0000077, GO:0005694, GO:0090399, GO:0042493, GO:0036297, GO:0070198, GO:0005524, GO:0005515, GO:1900034","GO:0015701, GO:0004089, GO:0016021, GO:0005886, GO:0008270"
88,O14757,Q30154,CHEK1,HLA-DRB5,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0018107, GO:2000615, GO:0071260, GO:0070317, GO:0000781, GO:0000785, GO:0035556, GO:0007049, GO:0005737, GO:0010569, GO:0005615, GO:0005813, GO:0005634, GO:0006281, GO:0005654, GO:0004674, GO:0006260, GO:0004672, GO:0045839, GO:0010767, GO:0005524, GO:0072425, GO:0006468, GO:0016301, GO:0048096, GO:0006915, GO:0006974, GO:0006975, GO:0035402, GO:0019904, GO:0000794, GO:1901796, GO:0000077, GO:0045787, GO:0032991, GO:0043231, GO:0035407, GO:0005829, GO:0005515, GO:0046602, GO:0090399","GO:0042613, GO:0030666, GO:0070062, GO:0019886, GO:0042605, GO:0005886, GO:0030669, GO:0050852, GO:0000139, GO:0030658, GO:0060333, GO:0032588, GO:0005765, GO:0012507, GO:0031902, GO:0071556"
89,Q8N5Z5,Q9UBT6,KCTD17,POLK,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0005737, GO:0005783, GO:0097602, GO:0030030, GO:0043161, GO:0051260, GO:0032469, GO:0005515, GO:0045724, GO:0031463, GO:0042802","GO:0003887, GO:0006297, GO:0006296, GO:0006283, GO:0006281, GO:0005634, GO:0019985, GO:0033683, GO:0070987, GO:0005654, GO:0006974, GO:0016604, GO:0006260, GO:0005515, GO:0034644, GO:0090734, GO:0046872, GO:0003684, GO:0042276"
90,P54725,Q9UHP3,RAD23A,USP25,"affinity chromatography technology, two hybrid, two hybrid array, two hybrid prey pooling approach, validated two hybrid","19013454, 25416956",2,"biogrid, intact",exp,"GO:0032436, GO:0032434, GO:0031593, GO:0005737, GO:0045787, GO:0000502, GO:0043161, GO:0005634, GO:1990381, GO:0045070, GO:0005815, GO:0005654, GO:0016579, GO:0003697, GO:0016032, GO:0006281, GO:0006289, GO:0006974, GO:0019900, GO:0031648, GO:0070628, GO:0032991, GO:0043231, GO:0005829, GO:0043130, GO:0005515, GO:0003684","GO:0005829, GO:0031625, GO:0005783, GO:0031647, GO:0051117, GO:0005634, GO:0071108, GO:0006464, GO:0036459, GO:0006511, GO:0043130, GO:1904293, GO:0005515, GO:0004197, GO:0006508, GO:0008233, GO:0016579, GO:0004843, GO:1904455, GO:0070536"
91,P27694,Q9GZX7,RPA1,AICDA,affinity chromatography technology,"16251902, 23277564",2,"biogrid, hprd",exp,"GO:0006294, GO:0006297, GO:0006296, GO:0034502, GO:0019985, GO:0000082, GO:0006298, GO:0042769, GO:0000784, GO:0007004, GO:0000723, GO:0043565, GO:0016605, GO:0051321, GO:0006293, GO:0000724, GO:0043047, GO:0005634, GO:0033683, GO:0005654, GO:0006260, GO:0006261, GO:0046872, GO:0006268, GO:0003697, GO:0006284, GO:0006283, GO:0006281, GO:0006289, GO:0006974, GO:0042276, GO:0006310, GO:1900034, GO:0098505, GO:0032201, GO:0036297, GO:0070987, GO:0005662, GO:0005515, GO:0003684","GO:0071222, GO:0045190, GO:0008270, GO:0047844, GO:0005737, GO:0005634, GO:0016554, GO:0070383, GO:0010529, GO:0042802, GO:0097752, GO:0016446, GO:0030183, GO:0090310, GO:0004126, GO:0080111, GO:0000178, GO:0031625, GO:0051607, GO:0000932, GO:0009972, GO:0045869, GO:0003723, GO:0005515, GO:0006397, GO:0016445, GO:0042742"
92,P51648,Q9BXW9,ALDH3A2,FANCD2,affinity chromatography technology,"26186194, 28514442",2,"biogrid, iid-ortho","exp, ortho","GO:0030148, GO:0005778, GO:0004028, GO:0006081, GO:0043878, GO:0007422, GO:0005515, GO:0016021, GO:0055114, GO:0005789, GO:0046577, GO:0050061, GO:0001561, GO:0052814, GO:0043231, GO:0008544, GO:0042803, GO:0004029, GO:0007417, GO:0033306, GO:0046458","GO:0097150, GO:0005654, GO:0070182, GO:0016604, GO:0005829, GO:0005730, GO:0048854, GO:0005634, GO:2000348, GO:0050727, GO:0007129, GO:0006974, GO:0000793, GO:0036297, GO:0005515, GO:0045589, GO:0034599, GO:0051090, GO:0006281, GO:0010332, GO:0007276"
93,P09874,P10276,PARP1,RARA,"affinity chromatography technology, pull down","15808511, 25303530",2,"bci, biogrid, hprd, i2d, iid-pred, intact","exp, pred","GO:0044030, GO:0006294, GO:0006296, GO:0006293, GO:0032042, GO:0006471, GO:0051287, GO:0034644, GO:0019899, GO:2001170, GO:1903827, GO:0000724, GO:0023019, GO:0042769, GO:0000784, GO:0070911, GO:0003677, GO:0032869, GO:0003950, GO:0043504, GO:0000715, GO:0007005, GO:0000723, GO:0016020, GO:0071294, GO:0006302, GO:0000122, GO:0030331, GO:0018312, GO:0005634, GO:0005635, GO:0033683, GO:0005739, GO:0005654, GO:0030225, GO:0045944, GO:0070412, GO:0006366, GO:1904646, GO:1990404, GO:0042826, GO:0010332, GO:0042802, GO:0000977, GO:0006915, GO:0005667, GO:1903518, GO:0006281, GO:0008134, GO:0050790, GO:0033148, GO:0006974, GO:1904357, GO:0036211, GO:0070212, GO:1901216, GO:0032991, GO:0034599, GO:0007179, GO:0010613, GO:1900182, GO:1904044, GO:0032993, GO:0047485, GO:0016540, GO:0005730, GO:0060391, GO:0010990, GO:0019901, GO:0051901, GO:0003723, GO:0005515, GO:0001228, GO:1904762, GO:1990966, GO:1903376, GO:2000679, GO:0008270","GO:0043277, GO:0030425, GO:0001076, GO:0007165, GO:0035264, GO:0044323, GO:0009755, GO:0045787, GO:0003714, GO:0003713, GO:0030853, GO:0002068, GO:0045666, GO:0030855, GO:0003417, GO:0032720, GO:0060010, GO:0007281, GO:0000790, GO:0019904, GO:0001843, GO:0043025, GO:0005829, GO:0001133, GO:0032736, GO:0032526, GO:0008270, GO:0048568, GO:0060173, GO:0031076, GO:0048167, GO:0098531, GO:0043422, GO:0000900, GO:0005654, GO:0006367, GO:0048471, GO:0042826, GO:0000981, GO:0034097, GO:0030374, GO:0060324, GO:0048732, GO:0032753, GO:0007420, GO:0061037, GO:0031641, GO:0000976, GO:0000977, GO:0001972, GO:0045630, GO:0046982, GO:0030154, GO:0019899, GO:0008144, GO:0021766, GO:0031490, GO:0090575, GO:0043401, GO:0060591, GO:0048027, GO:0048384, GO:0055012, GO:0005737, GO:0000122, GO:0005634, GO:0030850, GO:0008284, GO:0008285, GO:0051018, GO:0009986, GO:0071391, GO:0045892, GO:0045893, GO:0001657, GO:0007565, GO:0051099, GO:0045944, GO:0005515, GO:0045947, GO:0005102, GO:0071222, GO:0015629, GO:0060349, GO:0051393, GO:0001889, GO:0004872, GO:0007275, GO:0004879, GO:0032355, GO:0033993, GO:0043066, GO:0033189, GO:0008134, GO:0006468, GO:0060429, GO:0045471, GO:0003708, GO:0007507, GO:0003700, GO:0003148, GO:0007283, GO:0003707, GO:0071300, GO:0060534, GO:0032689, GO:0032754"
94,Q13643,Q9BX63,FHL3,BRIP1,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0001725, GO:0007517, GO:0005925, GO:0005634, GO:0003712, GO:0030036, GO:0003779, GO:0005515, GO:0046872, GO:0030018","GO:0010629, GO:0051026, GO:0003677, GO:0072520, GO:0005737, GO:0071295, GO:0006302, GO:1990918, GO:0005634, GO:0009636, GO:0010705, GO:0005654, GO:0006260, GO:0071456, GO:0046872, GO:0005524, GO:0008285, GO:0006281, GO:0004003, GO:0032508, GO:0031965, GO:0006289, GO:0006974, GO:0007284, GO:0007286, GO:1904385, GO:0000077, GO:0051539, GO:0006357, GO:0005515, GO:0003682"
95,O60921,O60939,HUS1,SCN2B,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0033314, GO:0005654, GO:0006468, GO:0000077, GO:0031573, GO:0000724, GO:0035861, GO:0005634, GO:0005730, GO:0071479, GO:0006289, GO:0006974, GO:0009790, GO:0008156, GO:0009411, GO:0005515, GO:0044778, GO:0006281, GO:0001932, GO:0030896, GO:0005829","GO:0086006, GO:0086002, GO:0007399, GO:0007268, GO:0086091, GO:0060371, GO:0001518, GO:0017080, GO:2000649, GO:0086012, GO:0046684, GO:0005244, GO:0060048, GO:0035725"
96,P27695,Q16881,APEX1,TXNRD1,"affinity chromatography technology, biochemical","15824742, 22863883",2,biogrid,exp,"GO:0006286, GO:0005783, GO:0014912, GO:0031490, GO:0044877, GO:0004523, GO:0008311, GO:0042981, GO:0004844, GO:0016491, GO:0016607, GO:0008408, GO:0004528, GO:0005730, GO:0140078, GO:0005813, GO:0005634, GO:0003714, GO:0003713, GO:0004520, GO:0005739, GO:0005654, GO:0008309, GO:0006310, GO:0080111, GO:0048471, GO:0003691, GO:0003723, GO:1903508, GO:0000723, GO:0006284, GO:0005667, GO:0006281, GO:0070301, GO:0051059, GO:1903507, GO:0003906, GO:0016890, GO:0045454, GO:0003677, GO:0055114, GO:0071375, GO:0090502, GO:0043488, GO:0097698, GO:0007568, GO:0005840, GO:0046872, GO:0004519, GO:0071320, GO:0008081, GO:0005737, GO:0006974, GO:0006355, GO:0006351, GO:0005515, GO:1900087, GO:0003684, GO:0000784","GO:0007165, GO:0001887, GO:0034599, GO:0004791, GO:0005737, GO:0098869, GO:0050660, GO:0001707, GO:0008283, GO:0005739, GO:0005654, GO:0022900, GO:0016667, GO:0009055, GO:0098626, GO:0098625, GO:0019216, GO:0001650, GO:0015949, GO:0045454, GO:0070062, GO:0005829, GO:0005515, GO:0015035"
97,P38398,Q13045,BRCA1,FLII,affinity chromatography technology,"22990118, 26831064",2,"biogrid, iid-pred","exp, pred","GO:0006633, GO:1902042, GO:0035066, GO:0035067, GO:1990904, GO:0044030, GO:0050681, GO:0033147, GO:0019899, GO:0008274, GO:0010628, GO:0008270, GO:0045766, GO:0003677, GO:0005634, GO:0042981, GO:0044818, GO:0005737, GO:0005654, GO:0006349, GO:0070063, GO:0006302, GO:0006301, GO:0000724, GO:0071356, GO:0006978, GO:0000729, GO:0003713, GO:0000800, GO:0071158, GO:0070512, GO:0085020, GO:0006260, GO:0031398, GO:0070531, GO:0007098, GO:0043009, GO:0005694, GO:0006303, GO:0042127, GO:0072425, GO:2000378, GO:2000620, GO:0005515, GO:0006281, GO:0006357, GO:0006915, GO:0006974, GO:0045892, GO:0070317, GO:0046600, GO:0005886, GO:0043627, GO:0051571, GO:0051572, GO:0051573, GO:0051574, GO:2000617, GO:0071681, GO:0010212, GO:0044212, GO:0031625, GO:0032991, GO:0008630, GO:0009048, GO:0004842, GO:0016579, GO:0010575, GO:0030521, GO:0015631, GO:0000151, GO:0003684, GO:0016567, GO:0051865, GO:0045944, GO:0006351, GO:0007059, GO:0003723, GO:0031436, GO:0045739, GO:0006359, GO:0045717, GO:0045893","GO:0003779, GO:0005925, GO:0005829, GO:0030036, GO:0005815, GO:0005654, GO:0006355, GO:0005903, GO:0051015, GO:0005515, GO:0051014, GO:0007275, GO:0006351"
98,O60216,Q5FBB7,RAD21,SGO1,"anti tag coimmunoprecipitation, pull down","23242214, 25173175",2,"dip, iid-pred, intact","exp, pred","GO:0045841, GO:0071168, GO:0044877, GO:0008278, GO:0051301, GO:0007062, GO:0006302, GO:0016020, GO:0005654, GO:0006366, GO:0016363, GO:0005694, GO:0045876, GO:0030893, GO:0006281, GO:0006915, GO:0006974, GO:0010972, GO:0007059, GO:0007131, GO:0000775, GO:0006310, GO:0000798, GO:0005829, GO:0001228, GO:0006357, GO:0045944, GO:0005515, GO:0000785, GO:0003682","GO:0005654, GO:0000779, GO:0005813, GO:0005829, GO:0045132, GO:0000922, GO:0008608, GO:0019900, GO:0000776, GO:0005515, GO:0007059, GO:0000777, GO:0010457, GO:0000775, GO:0051301, GO:0071962"
99,Q15645,Q9H0W9,TRIP13,C11orf54,"two hybrid, two hybrid array, two hybrid pooling approach, yeast 2-hybrid","16189514, 19060904",2,"biogrid, hprd, intact",exp,"GO:0007144, GO:0007131, GO:0007141, GO:0006302, GO:0005634, GO:0003712, GO:0001556, GO:0006366, GO:0048477, GO:0005524, GO:0006281, GO:1903506, GO:0006974, GO:0007283, GO:0007286, GO:0051598, GO:0007130, GO:0001673, GO:0005694, GO:0042802, GO:0005515, GO:0007094","GO:0016604, GO:0070062, GO:0005634, GO:0016788, GO:0005654, GO:0008270, GO:0005515"
100,Q92777,Q9UGP5,SYN2,POLL,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0030672, GO:0005524, GO:0045202, GO:0007269, GO:0007268, GO:0030054","GO:0006287, GO:0003887, GO:0006303, GO:0006281, GO:0005634, GO:0000724, GO:0006289, GO:0005654, GO:0006974, GO:0006260, GO:0003677, GO:0046872, GO:0051575, GO:0071897, GO:0016446"
101,P54725,Q13501,RAD23A,SQSTM1,"affinity chromatography technology, pull down, two hybrid, two hybrid pooling approach, yeast 2-hybrid","16189514, 19013454",2,"biogrid, hprd, iid-pred, innatedb, intact","exp, pred","GO:0032436, GO:0032434, GO:0031593, GO:0005737, GO:0045787, GO:0000502, GO:0043161, GO:0005634, GO:1990381, GO:0045070, GO:0005815, GO:0005654, GO:0016579, GO:0003697, GO:0016032, GO:0006281, GO:0006289, GO:0006974, GO:0019900, GO:0031648, GO:0070628, GO:0032991, GO:0043231, GO:0005829, GO:0043130, GO:0005515, GO:0003684","GO:0008104, GO:0005783, GO:0001934, GO:0005080, GO:0030154, GO:0016236, GO:0006468, GO:0016234, GO:0016235, GO:0043130, GO:0030017, GO:0010821, GO:0008270, GO:0070498, GO:0035556, GO:0044753, GO:0044130, GO:0005737, GO:0005654, GO:0016605, GO:0000407, GO:0070062, GO:0000122, GO:0005770, GO:0030971, GO:0005776, GO:0043065, GO:0004674, GO:0043066, GO:0007005, GO:0097413, GO:0070530, GO:0006914, GO:0042802, GO:0035973, GO:0007032, GO:0042169, GO:1903078, GO:0097225, GO:1905719, GO:0006915, GO:0051291, GO:0035255, GO:0019901, GO:0098780, GO:0019899, GO:0061635, GO:0002931, GO:0061912, GO:0016197, GO:0031625, GO:1900273, GO:0046578, GO:0000422, GO:0000423, GO:0044754, GO:0000932, GO:0043231, GO:0002376, GO:0006511, GO:0045944, GO:0043122, GO:0005515, GO:0042803, GO:0005829"
